EAL: Detected CPU lcores: 10
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Ignore mapping IO port bar(2)
EAL: Probe PCI driver: net_ixgbe (8086:10fb) device: 0000:16:00.0 (socket 0)
pps=0; bps=0;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359649; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359681; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359713; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359745; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359777; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359809; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359841; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359873; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359905; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359937; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359969; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360001; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360033; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360065; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360097; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360129; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360161; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360193; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360225; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360257; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360289; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360321; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360353; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360385; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360417; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360449; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360481; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=360513; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361057; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361089; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361121; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361153; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361249; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361281; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361313; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361345; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361377; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361409; expected_seq=355137;
